Class,Weapon,Attachment,Attachment Type,Unlock
Assault,SCAR - H,JGM-4 (4X),Optic,BattlePack
Assault,SCAR - H,Coyote (RDS),Optic,BattlePack
Assault,SCAR - H,Flash Hider,Barrel,BattlePack
Assault,SCAR - H,Folding Grip,Underbarrel,BattlePack
Assault,SCAR - H,Potato Grip,Underbarrel,BattlePack
Assault,SCAR - H,Vertical Grip,Underbarrel,BattlePack
Assault,SCAR - H,Green Laser Sight,Optic,BattlePack
Assault,SCAR - H,IRNV (IR 1X),Optic,BattlePack
Assault,SCAR - H,Kobra (RDS),Optic,BattlePack
Assault,SCAR - H,LS06 Suppressor,Barrel,BattlePack
Assault,SCAR - H,PBS-4 Suppressor,Barrel,BattlePack
Assault,SCAR - H,Laser/Light Combo,Accessory,BattlePack
Assault,SCAR - H,PKA-S (1X),Optic,BattlePack
Assault,SCAR - H,PK-A (3.4X),Optic,BattlePack
Assault,SCAR - H,PSO-1 (4X),Optic,BattlePack
Assault,SCAR - H,R2 Suppressor,Barrel,BattlePack
Assault,SCAR - H,Tactical Light,Accessory,BattlePack
Assault,SCAR - H,Tri Beam Laser,Accessory,BattlePack
Assault,SCAR - H,HD-33 (1X),Optic,BattlePack
Assault,M416,Iron Sights,Optic,Default
Assault,M416,Underslung Rail,Underbarrel,Default
Assault,M416,Reflex (RDS),Optic,10 Kills
Assault,M416,Laser Sight,Accessory,20 Kills
Assault,M416,ERGO Grip,Underbarrel,30 Kills
Assault,M416,Muzzle Brake,Barrel,40 Kills
Assault,M416,ACOG (4X),Optic,50 Kills
Assault,M416,Canted Iron Sights,Accessory,60 Kills
Assault,M416,Angled Grip,Underbarrel,70 Kills
Assault,M416,Heavy Barrel,Barrel,80 Kills
Assault,M416,M145 (3.4X),Optic,70 Kills
Assault,M416,Flash Light,Accessory,100 Kills
Assault,M416,Bipod,Underbarrel,110 Kills
Assault,M416,Compensator,Barrel,120 Kills
Assault,M416,Holo (1X),Optic,130 Kills
Assault,M416,Magnifier (2X),Accessory,140 Kills
Assault,M416,Stubby Grip,Underbarrel,150 Kills
Assault,M416,Suppressor,Barrel,160 Kills
Assault,M416,FLIR (IR 2X),Optic,BattlePack
Assault,M416,PRISMA (3.4X),Optic,BattlePack
Assault,M416,JGM-4 (4X),Optic,BattlePack
Assault,M416,Coyote (RDS),Optic,BattlePack
Assault,M416,Flash Hider,Barrel,BattlePack
Assault,M416,Folding Grip,Underbarrel,BattlePack
Assault,M416,Potato Grip,Underbarrel,BattlePack
Assault,M416,Vertical Grip,Underbarrel,BattlePack
Assault,M416,Green Laser Sight,Optic,BattlePack
Assault,M416,IRNV (IR 1X),Optic,BattlePack
Assault,M416,Kobra (RDS),Optic,BattlePack
Assault,M416,LS06 Suppressor,Barrel,BattlePack
Assault,M416,PBS-4 Suppressor,Barrel,BattlePack
Assault,M416,Laser/Light Combo,Accessory,BattlePack
Assault,M416,PKA-S (1X),Optic,BattlePack
Assault,M416,PK-A (3.4X),Optic,BattlePack
Assault,M416,PSO-1 (4X),Optic,BattlePack
Assault,M416,R2 Suppressor,Barrel,BattlePack
Assault,M416,Tactical Light,Accessory,BattlePack
Assault,M416,Tri Beam Laser,Accessory,BattlePack
Assault,M416,HD-33 (1X),Optic,BattlePack
Assault,SAR-21,Iron Sights,Optic,Default
Assault,SAR-21,UGL Rail,Underbarrel,Default
Assault,SAR-21,Coyote (RDS),Optic,10 Kills
Assault,SAR-21,Laser Sight,Accessory,20 Kills
Assault,SAR-21,ERGO Grip,Underbarrel,30 Kills
Assault,SAR-21,Muzzle Brake,Barrel,40 Kills
Assault,SAR-21,JGM-4 (4X),Optic,50 Kills
Assault,SAR-21,Canted Iron Sights,Accessory,60 Kills
Assault,SAR-21,Angled Grip,Underbarrel,70 Kills
Assault,SAR-21,Heavy Barrel,Barrel,80 Kills
Assault,SAR-21,PRISMA (3.4X),Optic,90 Kills
Assault,SAR-21,Flash Light,Accessory,100 Kills
Assault,SAR-21,Bipod,Underbarrel,110 Kills
Assault,SAR-21,Compensator,Barrel,120 Kills
Assault,SAR-21,HD-33 (1X),Optic,130 Kills
Assault,SAR-21,Magnifier (2X),Accessory,140 Kills
Assault,SAR-21,Stubby Grip,Underbarrel,150 Kills
Assault,SAR-21,LS06 Suppressor,Barrel,160 Kills
Assault,SAR-21,ACOG (4X),Optic,BattlePack
Assault,SAR-21,FLIR (IR 2X),Optic,BattlePack
Assault,SAR-21,Holo (1X),Optic,BattlePack
Assault,SAR-21,Flash Hider,Barrel,BattlePack
Assault,SAR-21,Folding Grip,Underbarrel,BattlePack
Assault,SAR-21,Potato Grip,Underbarrel,BattlePack
Assault,SAR-21,Vertical Grip,Underbarrel,BattlePack
Assault,SAR-21,Green Laser Sight,Optic,BattlePack
Assault,SAR-21,IRNV (IR 1X),Optic,BattlePack
Assault,SAR-21,Kobra (RDS),Optic,BattlePack
Assault,SAR-21,M145 (3.4X),Optic,BattlePack
Assault,SAR-21,PBS-4 Suppressor,Barrel,BattlePack
Assault,SAR-21,Laser/Light Combo,Accessory,BattlePack
Assault,SAR-21,PKA-S (1X),Optic,BattlePack
Assault,SAR-21,PK-A (3.4X),Optic,BattlePack
Assault,SAR-21,PSO-1 (4X),Optic,BattlePack
Assault,SAR-21,R2 Suppressor,Barrel,BattlePack
Assault,SAR-21,Reflex (RDS),Optic,BattlePack
Assault,SAR-21,Suppressor,Barrel,BattlePack
Assault,SAR-21,Tactical Light,Accessory,BattlePack
Assault,SAR-21,Tri Beam Laser,Accessory,BattlePack
Assault,AEK-971,Iron Sights,Optic,Default
Assault,AEK-971,UGL Rail,Underbarrel,Default
Assault,AEK-971,Kobra (RDS),Optic,10 Kills
Assault,AEK-971,Laser Sight,Accessory,20 Kills
Assault,AEK-971,ERGO Grip,Underbarrel,30 Kills
Assault,AEK-971,Muzzle Brake,Barrel,40 Kills
Assault,AEK-971,PSO-1 (4X),Optic,50 Kills
Assault,AEK-971,Canted Iron Sights,Accessory,60 Kills
Assault,AEK-971,Angled Grip,Underbarrel,70 Kills
Assault,AEK-971,Heavy Barrel,Barrel,80 Kills
Assault,AEK-971,PK-A (3.4X),Optic,90 Kills
Assault,AEK-971,Flash Light,Accessory,100 Kills
Assault,AEK-971,Bipod,Underbarrel,110 Kills
Assault,AEK-971,Compensator,Barrel,120 Kills
Assault,AEK-971,PKA-S (1X),Optic,130 Kills
Assault,AEK-971,Magnifier (2X),Accessory,140 Kills
Assault,AEK-971,Stubby Grip,Underbarrel,150 Kills
Assault,AEK-971,PBS-4 Suppressor,Barrel,160 Kills
Assault,AEK-971,PRISMA (3.4X),Optic,BattlePack
Assault,AEK-971,JGM-4 (4X),Optic,BattlePack
Assault,AEK-971,LS06 Suppressor,Barrel,BattlePack
Assault,AEK-971,Laser/Light Combo,Accessory,BattlePack
Assault,AEK-971,R2 Suppressor,Barrel,BattlePack
Assault,AEK-971,ACOG (4X),Optic,BattlePack
Assault,AEK-971,FLIR (IR 2X),Optic,BattlePack
Assault,AEK-971,Coyote (RDS),Optic,BattlePack
Assault,AEK-971,Holo (1X),Optic,BattlePack
Assault,AEK-971,Flash Hider,Barrel,BattlePack
Assault,AEK-971,Folding Grip,Underbarrel,BattlePack
Assault,AEK-971,Potato Grip,Underbarrel,BattlePack
Assault,AEK-971,Vertical Grip,Underbarrel,BattlePack
Assault,AEK-971,Green Laser Sight,Optic,BattlePack
Assault,AEK-971,IRNV (IR 1X),Optic,BattlePack
Assault,AEK-971,M145 (3.4X),Optic,BattlePack
Assault,AEK-971,Reflex (RDS),Optic,BattlePack
Assault,AEK-971,Suppressor,Barrel,BattlePack
Assault,AEK-971,Tactical Light,Accessory,BattlePack
Assault,AEK-971,Tri Beam Laser,Accessory,BattlePack
Assault,AEK-971,HD-33 (1X),Optic,BattlePack
Assault,FAMAS,Iron Sights,Optic,Default
Assault,FAMAS,Reflex (RDS),Optic,10 Kills
Assault,FAMAS,Laser Sight,Accessory,20 Kills
Assault,FAMAS,ERGO Grip,Underbarrel,30 Kills
Assault,FAMAS,Muzzle Brake,Barrel,40 Kills
Assault,FAMAS,ACOG (4X),Optic,50 Kills
Assault,FAMAS,Canted Iron Sights,Accessory,60 Kills
Assault,FAMAS,Angled Grip,Underbarrel,70 Kills
Assault,FAMAS,Heavy Barrel,Barrel,80 Kills
Assault,FAMAS,M145 (3.4X),Optic,70 Kills
Assault,FAMAS,Flash Light,Accessory,100 Kills
Assault,FAMAS,Bipod,Underbarrel,110 Kills
Assault,FAMAS,Compensator,Barrel,120 Kills
Assault,FAMAS,Holo (1X),Optic,130 Kills
Assault,FAMAS,Magnifier (2X),Accessory,140 Kills
Assault,FAMAS,Stubby Grip,Underbarrel,150 Kills
Assault,FAMAS,Suppressor,Barrel,160 Kills
Assault,FAMAS,FLIR (IR 2X),Optic,BattlePack
Assault,FAMAS,PRISMA (3.4X),Optic,BattlePack
Assault,FAMAS,JGM-4 (4X),Optic,BattlePack
Assault,FAMAS,Coyote (RDS),Optic,BattlePack
Assault,FAMAS,Flash Hider,Barrel,BattlePack
Assault,FAMAS,Folding Grip,Underbarrel,BattlePack
Assault,FAMAS,Potato Grip,Underbarrel,BattlePack
Assault,FAMAS,Vertical Grip,Underbarrel,BattlePack
Assault,FAMAS,Green Laser Sight,Optic,BattlePack
Assault,FAMAS,IRNV (IR 1X),Optic,BattlePack
Assault,FAMAS,Kobra (RDS),Optic,BattlePack
Assault,FAMAS,LS06 Suppressor,Barrel,BattlePack
Assault,FAMAS,PBS-4 Suppressor,Barrel,BattlePack
Assault,FAMAS,Laser/Light Combo,Accessory,BattlePack
Assault,FAMAS,PKA-S (1X),Optic,BattlePack
Assault,FAMAS,PK-A (3.4X),Optic,BattlePack
Assault,FAMAS,PSO-1 (4X),Optic,BattlePack
Assault,FAMAS,R2 Suppressor,Barrel,BattlePack
Assault,FAMAS,Tactical Light,Accessory,BattlePack
Assault,FAMAS,Tri Beam Laser,Accessory,BattlePack
Assault,FAMAS,HD-33 (1X),Optic,BattlePack
Assault,AUG A3,Iron Sights,Optic,Default
Assault,AUG A3,UGL Rail,Underbarrel,Default
Assault,AUG A3,Reflex (RDS),Optic,10 Kills
Assault,AUG A3,Laser Sight,Accessory,20 Kills
Assault,AUG A3,ERGO Grip,Underbarrel,30 Kills
Assault,AUG A3,Muzzle Brake,Barrel,40 Kills
Assault,AUG A3,ACOG (4X),Optic,50 Kills
Assault,AUG A3,Canted Iron Sights,Accessory,60 Kills
Assault,AUG A3,Angled Grip,Underbarrel,70 Kills
Assault,AUG A3,Heavy Barrel,Barrel,80 Kills
Assault,AUG A3,M145 (3.4X),Optic,70 Kills
Assault,AUG A3,Flash Light,Accessory,100 Kills
Assault,AUG A3,Bipod,Underbarrel,110 Kills
Assault,AUG A3,Compensator,Barrel,120 Kills
Assault,AUG A3,Holo (1X),Optic,130 Kills
Assault,AUG A3,Magnifier (2X),Accessory,140 Kills
Assault,AUG A3,Stubby Grip,Underbarrel,150 Kills
Assault,AUG A3,Suppressor,Barrel,160 Kills
Assault,AUG A3,FLIR (IR 2X),Optic,BattlePack
Assault,AUG A3,PRISMA (3.4X),Optic,BattlePack
Assault,AUG A3,JGM-4 (4X),Optic,BattlePack
Assault,AUG A3,Coyote (RDS),Optic,BattlePack
Assault,AUG A3,Flash Hider,Barrel,BattlePack
Assault,AUG A3,Folding Grip,Underbarrel,BattlePack
Assault,AUG A3,Potato Grip,Underbarrel,BattlePack
Assault,AUG A3,Vertical Grip,Underbarrel,BattlePack
Assault,AUG A3,Green Laser Sight,Optic,BattlePack
Assault,AUG A3,IRNV (IR 1X),Optic,BattlePack
Assault,AUG A3,Kobra (RDS),Optic,BattlePack
Assault,AUG A3,LS06 Suppressor,Barrel,BattlePack
Assault,AUG A3,PBS-4 Suppressor,Barrel,BattlePack
Assault,AUG A3,Laser/Light Combo,Accessory,BattlePack
Assault,AUG A3,PKA-S (1X),Optic,BattlePack
Assault,AUG A3,PK-A (3.4X),Optic,BattlePack
Assault,AUG A3,PSO-1 (4X),Optic,BattlePack
Assault,AUG A3,R2 Suppressor,Barrel,BattlePack
Assault,AUG A3,Tactical Light,Accessory,BattlePack
Assault,AUG A3,Tri Beam Laser,Accessory,BattlePack
Assault,AUG A3,HD-33 (1X),Optic,BattlePack
Assault,M16A4,Iron Sights,Optic,Default
Assault,M16A4,Underslung Rail,Underbarrel,Default
Assault,M16A4,Reflex (RDS),Optic,10 Kills
Assault,M16A4,Laser Sight,Accessory,20 Kills
Assault,M16A4,ERGO Grip,Underbarrel,30 Kills
Assault,M16A4,Muzzle Brake,Barrel,40 Kills
Assault,M16A4,ACOG (4X),Optic,50 Kills
Assault,M16A4,Canted Iron Sights,Accessory,60 Kills
Assault,M16A4,Angled Grip,Underbarrel,70 Kills
Assault,M16A4,Heavy Barrel,Barrel,80 Kills
Assault,M16A4,M145 (3.4X),Optic,70 Kills
Assault,M16A4,Flash Light,Accessory,100 Kills
Assault,M16A4,Bipod,Underbarrel,110 Kills
Assault,M16A4,Compensator,Barrel,120 Kills
Assault,M16A4,Holo (1X),Optic,130 Kills
Assault,M16A4,Magnifier (2X),Accessory,140 Kills
Assault,M16A4,Stubby Grip,Underbarrel,150 Kills
Assault,M16A4,Suppressor,Barrel,160 Kills
Assault,M16A4,FLIR (IR 2X),Optic,BattlePack
Assault,M16A4,PRISMA (3.4X),Optic,BattlePack
Assault,M16A4,JGM-4 (4X),Optic,BattlePack
Assault,M16A4,Coyote (RDS),Optic,BattlePack
Assault,M16A4,Flash Hider,Barrel,BattlePack
Assault,M16A4,Folding Grip,Underbarrel,BattlePack
Assault,M16A4,Potato Grip,Underbarrel,BattlePack
Assault,M16A4,Vertical Grip,Underbarrel,BattlePack
Assault,M16A4,Green Laser Sight,Optic,BattlePack
Assault,M16A4,IRNV (IR 1X),Optic,BattlePack
Assault,M16A4,Kobra (RDS),Optic,BattlePack
Assault,M16A4,LS06 Suppressor,Barrel,BattlePack
Assault,M16A4,PBS-4 Suppressor,Barrel,BattlePack
Assault,M16A4,Laser/Light Combo,Accessory,BattlePack
Assault,M16A4,PKA-S (1X),Optic,BattlePack
Assault,M16A4,PK-A (3.4X),Optic,BattlePack
Assault,M16A4,PSO-1 (4X),Optic,BattlePack
Assault,M16A4,R2 Suppressor,Barrel,BattlePack
Assault,M16A4,Tactical Light,Accessory,BattlePack
Assault,M16A4,Tri Beam Laser,Accessory,BattlePack
Assault,M16A4,HD-33 (1X),Optic,BattlePack
Assault,CZ-805,Iron Sights,Optic,Default
Assault,CZ-805,Underslung Rail,Underbarrel,Default
Assault,CZ-805,Kobra (RDS),Optic,10 Kills
Assault,CZ-805,Laser Sight,Accessory,20 Kills
Assault,CZ-805,ERGO Grip,Underbarrel,30 Kills
Assault,CZ-805,Muzzle Brake,Barrel,40 Kills
Assault,CZ-805,PSO-1 (4X),Optic,50 Kills
Assault,CZ-805,Canted Iron Sights,Accessory,60 Kills
Assault,CZ-805,Angled Grip,Underbarrel,70 Kills
Assault,CZ-805,Heavy Barrel,Barrel,80 Kills
Assault,CZ-805,PK-A (3.4X),Optic,90 Kills
Assault,CZ-805,Flash Light,Accessory,100 Kills
Assault,CZ-805,Bipod,Underbarrel,110 Kills
Assault,CZ-805,Compensator,Barrel,120 Kills
Assault,CZ-805,PKA-S (1X),Optic,130 Kills
Assault,CZ-805,Magnifier (2X),Accessory,140 Kills
Assault,CZ-805,Stubby Grip,Underbarrel,150 Kills
Assault,CZ-805,PBS-4 Suppressor,Barrel,160 Kills
Assault,CZ-805,PRISMA (3.4X),Optic,BattlePack
Assault,CZ-805,JGM-4 (4X),Optic,BattlePack
Assault,CZ-805,LS06 Suppressor,Barrel,BattlePack
Assault,CZ-805,Laser/Light Combo,Accessory,BattlePack
Assault,CZ-805,R2 Suppressor,Barrel,BattlePack
Assault,CZ-805,ACOG (4X),Optic,BattlePack
Assault,CZ-805,FLIR (IR 2X),Optic,BattlePack
Assault,CZ-805,Coyote (RDS),Optic,BattlePack
Assault,CZ-805,Holo (1X),Optic,BattlePack
Assault,CZ-805,Flash Hider,Barrel,BattlePack
Assault,CZ-805,Folding Grip,Underbarrel,BattlePack
Assault,CZ-805,Potato Grip,Underbarrel,BattlePack
Assault,CZ-805,Vertical Grip,Underbarrel,BattlePack
Assault,CZ-805,Green Laser Sight,Optic,BattlePack
Assault,CZ-805,IRNV (IR 1X),Optic,BattlePack
Assault,CZ-805,M145 (3.4X),Optic,BattlePack
Assault,CZ-805,Reflex (RDS),Optic,BattlePack
Assault,CZ-805,Suppressor,Barrel,BattlePack
Assault,CZ-805,Tactical Light,Accessory,BattlePack
Assault,CZ-805,Tri Beam Laser,Accessory,BattlePack
Assault,CZ-805,HD-33 (1X),Optic,BattlePack
Assault,ACE 23,Iron Sights,Optic,Default
Assault,ACE 23,Coyote (RDS),Optic,10 Kills
Assault,ACE 23,Laser Sight,Accessory,20 Kills
Assault,ACE 23,ERGO Grip,Underbarrel,30 Kills
Assault,ACE 23,Muzzle Brake,Barrel,40 Kills
Assault,ACE 23,JGM-4 (4X),Optic,50 Kills
Assault,ACE 23,Canted Iron Sights,Accessory,60 Kills
Assault,ACE 23,Angled Grip,Underbarrel,70 Kills
Assault,ACE 23,Heavy Barrel,Barrel,80 Kills
Assault,ACE 23,PRISMA (3.4X),Optic,90 Kills
Assault,ACE 23,Flash Light,Accessory,100 Kills
Assault,ACE 23,Bipod,Underbarrel,110 Kills
Assault,ACE 23,Compensator,Barrel,120 Kills
Assault,ACE 23,HD-33 (1X),Optic,130 Kills
Assault,ACE 23,Magnifier (2X),Accessory,140 Kills
Assault,ACE 23,Stubby Grip,Underbarrel,150 Kills
Assault,ACE 23,LS06 Suppressor,Barrel,160 Kills
Assault,ACE 23,ACOG (4X),Optic,BattlePack
Assault,ACE 23,FLIR (IR 2X),Optic,BattlePack
Assault,ACE 23,Holo (1X),Optic,BattlePack
Assault,ACE 23,Flash Hider,Barrel,BattlePack
Assault,ACE 23,Folding Grip,Underbarrel,BattlePack
Assault,ACE 23,Potato Grip,Underbarrel,BattlePack
Assault,ACE 23,Vertical Grip,Underbarrel,BattlePack
Assault,ACE 23,Green Laser Sight,Optic,BattlePack
Assault,ACE 23,IRNV (IR 1X),Optic,BattlePack
Assault,ACE 23,Kobra (RDS),Optic,BattlePack
Assault,ACE 23,M145 (3.4X),Optic,BattlePack
Assault,ACE 23,PBS-4 Suppressor,Barrel,BattlePack
Assault,ACE 23,Laser/Light Combo,Accessory,BattlePack
Assault,ACE 23,PKA-S (1X),Optic,BattlePack
Assault,ACE 23,PK-A (3.4X),Optic,BattlePack
Assault,ACE 23,PSO-1 (4X),Optic,BattlePack
Assault,ACE 23,R2 Suppressor,Barrel,BattlePack
Assault,ACE 23,Reflex (RDS),Optic,BattlePack
Assault,ACE 23,Suppressor,Barrel,BattlePack
Assault,ACE 23,Tactical Light,Accessory,BattlePack
Assault,ACE 23,Tri Beam Laser,Accessory,BattlePack
Assault,QBZ-95-1,Iron Sights,Optic,Default
Assault,QBZ-95-1,UGL Rail,Underbarrel,Default
Assault,QBZ-95-1,Coyote (RDS),Optic,10 Kills
Assault,QBZ-95-1,Laser Sight,Accessory,20 Kills
Assault,QBZ-95-1,ERGO Grip,Underbarrel,30 Kills
Assault,QBZ-95-1,Muzzle Brake,Barrel,40 Kills
Assault,QBZ-95-1,JGM-4 (4X),Optic,50 Kills
Assault,QBZ-95-1,Canted Iron Sights,Accessory,60 Kills
Assault,QBZ-95-1,Angled Grip,Underbarrel,70 Kills
Assault,QBZ-95-1,Heavy Barrel,Barrel,80 Kills
Assault,QBZ-95-1,PRISMA (3.4X),Optic,90 Kills
Assault,QBZ-95-1,Flash Light,Accessory,100 Kills
Assault,QBZ-95-1,Bipod,Underbarrel,110 Kills
Assault,QBZ-95-1,Compensator,Barrel,120 Kills
Assault,QBZ-95-1,HD-33 (1X),Optic,130 Kills
Assault,QBZ-95-1,Magnifier (2X),Accessory,140 Kills
Assault,QBZ-95-1,Stubby Grip,Underbarrel,150 Kills
Assault,QBZ-95-1,LS06 Suppressor,Barrel,160 Kills
Assault,QBZ-95-1,ACOG (4X),Optic,BattlePack
Assault,QBZ-95-1,FLIR (IR 2X),Optic,BattlePack
Assault,QBZ-95-1,Holo (1X),Optic,BattlePack
Assault,QBZ-95-1,Flash Hider,Barrel,BattlePack
Assault,QBZ-95-1,Folding Grip,Underbarrel,BattlePack
Assault,QBZ-95-1,Potato Grip,Underbarrel,BattlePack
Assault,QBZ-95-1,Vertical Grip,Underbarrel,BattlePack
Assault,QBZ-95-1,Green Laser Sight,Optic,BattlePack
Assault,QBZ-95-1,IRNV (IR 1X),Optic,BattlePack
Assault,QBZ-95-1,Kobra (RDS),Optic,BattlePack
Assault,QBZ-95-1,M145 (3.4X),Optic,BattlePack
Assault,QBZ-95-1,PBS-4 Suppressor,Barrel,BattlePack
Assault,QBZ-95-1,Laser/Light Combo,Accessory,BattlePack
Assault,QBZ-95-1,PKA-S (1X),Optic,BattlePack
Assault,QBZ-95-1,PK-A (3.4X),Optic,BattlePack
Assault,QBZ-95-1,PSO-1 (4X),Optic,BattlePack
Assault,QBZ-95-1,R2 Suppressor,Barrel,BattlePack
Assault,QBZ-95-1,Reflex (RDS),Optic,BattlePack
Assault,QBZ-95-1,Suppressor,Barrel,BattlePack
Assault,QBZ-95-1,Tactical Light,Accessory,BattlePack
Assault,QBZ-95-1,Tri Beam Laser,Accessory,BattlePack
Assault,F2000,Iron Sights,Optic,Default
Assault,F2000,F2000 (1.6x),Optic,Default
Assault,F2000,Reflex (RDS),Optic,10 Kills
Assault,F2000,Laser Sight,Accessory,20 Kills
Assault,F2000,ERGO Grip,Underbarrel,30 Kills
Assault,F2000,Muzzle Brake,Barrel,40 Kills
Assault,F2000,ACOG (4X),Optic,50 Kills
Assault,F2000,Canted Iron Sights,Accessory,60 Kills
Assault,F2000,Angled Grip,Underbarrel,70 Kills
Assault,F2000,Heavy Barrel,Barrel,80 Kills
Assault,F2000,M145 (3.4X),Optic,70 Kills
Assault,F2000,Flash Light,Accessory,100 Kills
Assault,F2000,Bipod,Underbarrel,110 Kills
Assault,F2000,Compensator,Barrel,120 Kills
Assault,F2000,Holo (1X),Optic,130 Kills
Assault,F2000,Magnifier (2X),Accessory,140 Kills
Assault,F2000,Stubby Grip,Underbarrel,150 Kills
Assault,F2000,Suppressor,Barrel,160 Kills
Assault,F2000,FLIR (IR 2X),Optic,BattlePack
Assault,F2000,PRISMA (3.4X),Optic,BattlePack
Assault,F2000,JGM-4 (4X),Optic,BattlePack
Assault,F2000,Coyote (RDS),Optic,BattlePack
Assault,F2000,Flash Hider,Barrel,BattlePack
Assault,F2000,Folding Grip,Underbarrel,BattlePack
Assault,F2000,Potato Grip,Underbarrel,BattlePack
Assault,F2000,Vertical Grip,Underbarrel,BattlePack
Assault,F2000,Green Laser Sight,Optic,BattlePack
Assault,F2000,IRNV (IR 1X),Optic,BattlePack
Assault,F2000,Kobra (RDS),Optic,BattlePack
Assault,F2000,LS06 Suppressor,Barrel,BattlePack
Assault,F2000,PBS-4 Suppressor,Barrel,BattlePack
Assault,F2000,Laser/Light Combo,Accessory,BattlePack
Assault,F2000,PKA-S (1X),Optic,BattlePack
Assault,F2000,PK-A (3.4X),Optic,BattlePack
Assault,F2000,PSO-1 (4X),Optic,BattlePack
Assault,F2000,R2 Suppressor,Barrel,BattlePack
Assault,F2000,Tactical Light,Accessory,BattlePack
Assault,F2000,Tri Beam Laser,Accessory,BattlePack
Assault,F2000,HD-33 (1X),Optic,BattlePack
Assault,L85A2,Iron Sights,Optic,Default
Assault,L85A2,Reflex (RDS),Optic,10 Kills
Assault,L85A2,Laser Sight,Accessory,20 Kills
Assault,L85A2,ERGO Grip,Underbarrel,30 Kills
Assault,L85A2,Muzzle Brake,Barrel,40 Kills
Assault,L85A2,ACOG (4X),Optic,50 Kills
Assault,L85A2,Canted Iron Sights,Accessory,60 Kills
Assault,L85A2,Angled Grip,Underbarrel,70 Kills
Assault,L85A2,Heavy Barrel,Barrel,80 Kills
Assault,L85A2,M145 (3.4X),Optic,70 Kills
Assault,L85A2,Flash Light,Accessory,100 Kills
Assault,L85A2,Bipod,Underbarrel,110 Kills
Assault,L85A2,Compensator,Barrel,120 Kills
Assault,L85A2,Holo (1X),Optic,130 Kills
